doc_id,index,sentence,sentence_id,validate_verbs,uqs,uqs_initial
wsj_0760,619,"Operating profit for the abrasives , engineering materials and petroleum services concern was $ 19.2 million , or 91 cents a share , up 3 % from $ 18.7 million , or 87 cents a share .",2,Operating_0_9 profit_10_16 for_17_20 services_73_81 concern_82_89 was_90_93,0.3039805795,0.3090573452
NYT19980206.0460,438,"Among people with less than a high school education , the rate in January was 7.2 percent .",37,Among_0_5 high_30_34 in_63_65 was_74_77,0.3150548781,0.3664162863
PRI19980303.2000.2550,426,"The instruction is in English for most classes , in Arabic for language and religious studies .",6,is_16_18 in_19_21 for_30_33 in_49_51 for_59_62,0.3334127727,0.2933588226
wsj_0610,233,"The new facility was to have been the world 's most advanced cereal manufacturing plant , and Kellogg 's largest construction project .",30,was_17_20 have_24_28 been_29_33,0.3414480903,0.3232206753
wsj_0557,533,"Baby Ruth and Butterfinger are both among the top-selling 15 chocolate bars in the U.S. , but RJR 's overall share of the roughly $ 5.1 billion market is less than 5 % .",13,are_27_30 among_36_41 in_76_78 market_144_150 is_151_153,0.3548717497,0.3221564751
wsj_0781,225,"But while the chip 's speed in processing power is dazzling , it 's real strength lies in its software inheritance .",41,is_48_50 s_65_67 lies_82_86,0.3580154871,0.3220985232
wsj_0760,538,"Operating profit for the abrasives , engineering materials and petroleum services concern was $ 19.2 million , or 91 cents a share , up 3 % from $ 18.7 million , or 87 cents a share .",2,Operating_0_9 profit_10_16 for_17_20 was_90_93,0.3616084576,0.2967319452
wsj_0768,496,"Mutual funds are the among the largest holders of junk , accounting for more than a quarter of the entire high-yield , high-risk market .",15,are_13_16 among_21_26 accounting_57_67 for_68_71 market_129_135,0.3621603634,0.341306151
VOA19980305.1800.2603,250,"An Afghan refugee in Switzerland , Homira Atimadi , is a senior official of a group called the International Working Group on Afghan Women .",6,is_52_54 called_84_90,0.3813910228,0.3648924619
NYT19980907.0112,429,The Embassy in Dar es Salaam is at 285 Toure Drive ; -LRB- 255-51 -RRB- 666-015 .,31,in_12_14 is_29_31 at_32_34 Drive_45_50,0.3837364806,0.3138071187
wsj_0159,196,"Cara , a food services chain operator and Unicorp , a holding company , are based in Toronto .",8,holding_54_61 are_72_75 based_76_81,0.3875482519,0.3265786354
wsj_0781,474,"But while the chip 's speed in processing power is dazzling , it 's real strength lies in its software inheritance .",41,in_28_30 is_48_50 lies_82_86 in_87_89,0.399783359,0.368837353
PRI19980303.2000.2550,555,"For The World , I 'm Nancy Marshalll .",31,For_0_3 m_18_20,0.4000943737,0.4141455369
PRI19980205.2000.1890,556,For The World I 'm Nancy Marshall in Washington .,7,For_0_3 m_16_18 in_34_36,0.40355897,0.3815713177
wsj_0904,532,"Net for the nine months was $ 254 million , or $ 5.94 a share , up 56 % from $ 163 million , or $ 4.06 a share , a year earlier .",5,Net_0_3 for_4_7 was_24_27,0.4080792899,0.3762246727
wsj_0816,325,Yield on the issue was 7.88 % .,21,on_6_8 was_19_22,0.4155923453,0.3934638905
APW19980810.0907,470,The source for the Kenyan figures is the Department of Relief and Rehabilitation in the office of President Daniel arap Moi .,1,for_11_14 is_34_36 in_81_83,0.4186128796,0.4264143114
wsj_0586,369,What 's happening here is n't justified by the fundamentals . '',34,here_18_22 is_23_25,0.4190564593,0.4141455369
wsj_0781,473,"-LRB- A 16-bit microprocessor processes 16 pieces of data at a time and is slower than newer , 32-bit chips . -RRB-",43,at_58_60 is_72_74,0.4210424364,0.4292482649
wsj_1006,425,"Mr. Nadeau also is chairman and chief executive of Unigesco Inc. , Provigo 's controlling shareholder .",9,is_16_18 chairman_19_27,0.4212757073,0.4057771592
NYT19980907.0112,179,The Embassy in Dar es Salaam is at 285 Toure Drive ; -LRB- 255-51 -RRB- 666-015 .,31,es_19_21 is_29_31,0.4225876704,0.4633986119
wsj_0159,37,"Dunkin' is based in Randolph , Mass. .",7,is_8_10 based_11_16,0.4232162237,0.387884972
APW19980810.0907,157,The source for the Tanzanian figures is the U.S. Embassy in Dar es Salaam .,2,is_37_39 es_64_66,0.4252452287,0.4387720744
PRI19980205.2000.1890,347,For The World I 'm Nancy Marshall in Washington .,7,For_0_3 in_34_36,0.4277826119,0.4057771592
wsj_0768,578,That 's even less than the 4.35 % total return of the Merrill Lynch High-Yield Index .,32,s_5_7 return_40_46,0.4380302457,0.422035319
APW19980322.0749,535,"The crucible is Portadown , 30 miles -LRB- 50 kms -RRB- southwest of Belfast , where Orangemen march each July from their rural church back downtown _ through the town 's main Catholic area .",17,is_13_15 back_135_139,0.445468459,0.4248247783
CNN19980126.1600.1104,327,Good news for AT and T today .,10,Good_0_4 for_10_13,0.4455896674,0.4387720744
wsj_0786,254,IMA is a group that includes First Boston Corp. and the Pritzker family of Chicago through the leveraged buy-out fund Harry Gray Melvyn Klein amp Partners .,3,is_4_6 includes_20_28,0.448635067,0.4457046655
wsj_0610,482,"The new facility was to have been the world 's most advanced cereal manufacturing plant , and Kellogg 's largest construction project .",30,was_17_20 have_24_28 been_29_33 manufacturing_68_81 construction_113_125,0.4515135357,0.3737184274
wsj_0675,462,"Dow Jones industrials 2596.72 , off 17.01 ; transportation 1190.43 , off 14.76 ; utilities 215.86 , up 0.19 .",27,off_32_35 off_69_72 up_100_102,0.4528905275,0.4425152535
ABC19980304.1830.1636,405,"Even two hundred miles up in space , there has been a glass ceiling .",4,up_23_25 in_26_28 has_43_46 been_47_51,0.4544656081,0.3895189994
wsj_0781,224,"-LRB- A 16-bit microprocessor processes 16 pieces of data at a time and is slower than newer , 32-bit chips . -RRB-",43,is_72_74,0.4596568493,0.4857142857
wsj_0768,178,That 's even less than the 4.35 % total return of the Merrill Lynch High-Yield Index .,32,s_5_7,0.4597012365,0.5238095238
